id,comment,Label
1,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1
2,"I will be writing an e-mail regardless with all 3 of your user names in it. I am not a vandal. And I can call you a Nazi all I want, it's not an attack if I think highly of them. Actually it would be a compliment. 68.1.89.162",1
3,"You So, you delete my right to comment about you. Well its not the first time is it. Reading through other comments it seems there is no end to your appauling lack of scrupples. How dare you.",1
4,They NEVER show ads. here...,0
5,""" As was I, and I don't appreciate the implication that I have no courage because I was out with friends. I'll be busy for the rest of today, but let me know what you would like done. I can't really block the user, since he hasn't done anything new since his old block, and a warning seems out of place since he's already been blocked. Try mediation, or an RFC? I know you don't like dispute resolution, and I understand it hasn't really functioned well for you in the past, but perhaps that's something to look into at this point? Besides, looking at the article's talk page (and his recent contribs, in case something got moved) he really doesn't seem to be being that dickish, IMO - he's just trying to balance the article, which is an acceptable goal (much as homeopathy and pseudoscience are bullshit, WP needs to mention that they exist, providing there are sources). MC """,0
6,"(UTC) But that way you'd have to include that factor (and its powers) into time complexity of almost every algorithm! It's not a very useful thing to care about, and so in the usual computational model, used for analysis of algorithms (RAM machine), a machine word is assumed to be of size bits, and so addition of numbers of that size is . 14:26, 22 September 2009",0
7,"Self-appointed, self-aggrandising and self-important guardian of Wikipedia. My rampant self-righteousness really knows no bounds and I truly am a complete wanker.",1
8,Vandalism pt. 2 HA! So your the son of a bitch who keeps violating those pages by replacing the old logos with the current ones. So guess what? I'm komin' over your house and kill you and your friends and family.,1
9,Semi-protected edit request on 5 May 2014 His music is shit. it is not the shit. it is shit. 206.207.175.162,1
10,""" I like the way you forget about all the times Israel has actualy done this to other nations, including it's """"allies"""", such as when they forged european passports to commit a murder causing 20 innocent people to be framed, and do we really need to talk about the USS Liberty incident? Just because Iran says something, it has to be bad right? Fucking morons the lot of you if you think this isn't something they would do or at least consider. """,1
11,Insult me once more and I swear you go down. Understand little coward?,1
12,""" == I wasnt really attacking him/her regarding the Lisa Williams article (Hmpzzz!) Do you know if Lisa can see dead people too? I have psychic powers too you know, i can see the future! Send all these """"Lisa Williams"""" to Finland and they will all be locked in jails for being scam artists!""",0
13,Do not help the jew Schnider. Final warning.,1
14,I dare you to block me also he has a purple barnstar go back in his revertion as3ho0le,1
15,suck a fuck Please suck a fuck.,1
16,""" You mean this edit to Rudolph, which I reverted, I presume. Not being aquainted with the history of the medieval monk in question, it looked like a typical IP vandal post when I encountered it. Please accept my apology. Thankfully, WP seems to be self-correcting in this case and all is now well. Cheers, mate! Who, me? """,0
17,""" Re-review GA review � see WP:WIAGA for criteria Is it reasonably well written? A. Prose quality: B. MoS compliance: {{#if:The lead section is still a bit short and could use some expanding. WP:LEAD recommends that an article of about this size should have one to two paragraphs - I think this one can easily support two. You have done some good work in expanding what the lead covers.The lead section is still a bit short and could use some expanding. WP:LEAD recommends that an article of about this size should have one to two paragraphs - I think this one can easily support two. You have done some good work in expanding what the lead covers.}} Is it factually accurate and verifiable? A. References to sources: B. Citation of reliable sources where necessary: C. No original research: Is it broad in its coverage? A. Major aspects: B. Focused: Is it neutral? Fair representation without bias: Is it stable? No edit wars, etc: Does it contain images to illustrate the topic? A. Images are copyright tagged, and non-free images have fair use rationales: B. Images are provided where possible and appropriate, with suitable captions: Overall: Pass or Fail: {{#if:Well done! This can now be called a Good Article! Keep up the good work, and consider a peer review, and this should be up to Featured Article Status soon! With so much history behind this market, it should definitely be an attainable goal. (//c) Well done! This can now be called a Good Article! Keep up the good work, and cons",0
