id,comment,Label
1,"'1999 is certainly going to be know as one or the other. There was another quake, in Mexico, a big one, 7.4. Sandra Doyle She said ""Thanks for saying all the things I never do."" I said ""The thanks I get is to take all the shit for you."" - AD Disclaimer: These are my opinions only. But I share.'",1
2,"'I see Pocono has put up some info on the new TeleVue 31.5 mm ep. Hefty price tag though. I think this would be the perfect ep for my 10"" LX200. I want one. B'",0
3,'i want you tell me some nice short student joke',0
4,"'Dont you get it boy? Isnt the sig file below enough to burst your bubble? You want to discuss your sig file again? Well, if you really insist: Josif Absurdity repeated his SPAM again ""Ancient Macedonians looked down upon the Hellenes with contempt The dislike was reciprocal, for the Macedonians have grown into a proud masterful nation which with highly developed national consciousness looked down upon the Hellenes with contempt"" Ulrich Wilcken. Wilcken? 1) The Kings of Macedonia passed with the Greeks as Hellenes since Alexander I was accepted into the Olympic games. 2) ""And yet when we take into account the political conditions, religion and morals of the Macedonians, our conviction is strengthened that they were a Greek race and akin to the Dorians. Having stayed behind in the extreme north, they were unable to participate in the progressive civilization of the tribes which went further south, and so, when in the time of the Persian Wars they emerged to them as non-Greeks, as barbarians."" ""The Colonels, as it happened, promoted Alexander as a Greek hero, especially to army recruits: The Greeks of the fourth century B.C., to whom Alexander was a half-Macedonian, half-Epirote barbarian conqueror, would have found this metamorphosis as ironic as I did."" Peter Green [Alexander of Macedon] Peter Green? ""As the result of some subterranean upheaval, a spring near the city boiled up like a geyser, spewing forth a bronze tablet inscribed with ancient symbols - perhaps some long-lostex-voto offering. For any diviner with his wits about him, this must have come as a godsend. Aristander duly interpreted the mysterious inscription: it said (and who was to contradict him?) that ` the empire of the Persians would one day be destroyed by the Greeks and come to an end. Much encouraged, Alexander set off again, in an easterly direction this time, by the coast road as far as Phoenice (Finike), and thence across the Chelidonian peninsula to Phaselis."" Page 202 Now tell us Josif If Alexander did not consider himself a Greek why was he encouraged and why didnt he execute Aristander for daring to say the Greeks instead of Macedonians? ?????????????????????????????????????????????????????? ) from: Spirit Of The Real Makedon (using Junes e-mail to communicate to you)! The heart of Macedonia was always Greek'",1
5,'tell me your name you mental retard',1
6,"'You need a four-pole mini-plug on one end, and a digital DIN on the other, no big deal. Try asking Creative Customer Service about this at 1-800-998-1000. you are right about the Encore connection. Dave I have Creatives PC-DVD Encore, I am thinking of getting the SB Live Platinum and DTT2500 speakers. I think the SP/DIF output of the Encore plugs into the SP/DIF input of the DTT2500. That leaves its Digital DIN input free. But Creatives Web site has no reference to a Digital DIN output on the SB Live Platinum, only ""Digital Out (front & rear S/PDIF output)"". So do I have to unplug the DVD and plug in the SB Live every time I want to switch from DVD to games? The live-platinum/specs.html says: Expansion header for Optical Digital I/O card or Live!(tm) Drive (available separately) So do I have to buy even more parts to connect these? If anyone actually owns these three products and can explain how they plug together, I would really appreciate it. If anyone from Creative is reading, your web site does an APPALLING job of explaining how these three products plug together. =S Page William Gibson bibliography loving Carmageddon! CHIC salute'",0
7,'i am very interested in your decision to speak about this book',0
8,"'If I had known this, i would have been there this weekend Did you post a message about this Amiga Dag on this newsgroup !? We like to tell all Amiga Users That we in the Netherlands had the World Premiere for OS. 3.5 the final sales version! Petro T. was with us this weekend and brought with him 20 end versions of OS 3.5 And they where all sold with in a few minutes by Our Benelux Amiga Importer ComputerCity. And that was all hapening on our Amiga Dag in Leeuwarden. : Bye, Sjoerd AGGF and AmigaScene, Holland!'",0
9,"'[A complimentary Cc of this posting was sent to Trevor Hemsley The CD filesystem does not include support for EAs so they are discarded when you write files to a CD (probably not even written at all). The only way to get EAs onto a CD that I know of is to zip the files first using an EA aware copy of zip and then write the zip file to CD. I wonder how hard would it be to write a FS on top of the CDFS, which would store EAs of a ""filename.ext"" in a file ""filename.ext. e a "", and will do the inverse transformation on reading. It is possible to stack one FS on top of another, right? Ilya'",0
10,"'As Rich commented, you are getting more and more difficult to believe. We all make mistakes - both as beginners and advanced amateurs. We are not all quite as hopeless are you are starting to appear. Well Jeepers, I just feel so stupid now. Hey, I have got an idea, how about the next time someone asks a question like how do i find north if I dont have a compass and cant see Polaris we do something like answer the question, instead of poking fun, calling names and assuming that everyone in the universe is as well educated in the ins-and-and outs of astronomy as we are? The whole scenario of forgetting my compass and being nowhere with obvious reference points was only brought up because people started asking me why I didnt just go buy a compass. I ask a question that some people seem to think is so simple and obvious that it shouldnt have been asked at all. If it is so simple, why all the added attractions? Why not answer the question and get on with life? The posts that say go buy a compass as an answer to the question what if I cant buy a compass are, as stated, totally redundant. Sure, the first couple of posts that said that had their humorous undercoatings, and I can enjoy a good joke as much as anyone else. But when someone goes to the extent of saying I am stupid, unbelievable and/or hopeless - that takes the joke a little too far. If you dont know the answer, dont participate. If you do know it, answer the question. This isnt rocket science, after all. Oh, wait, I guess it is. JB'",1
