id,comment,clean_comment,Label
1,"'1999 is certainly going to be know as one or the other. There was another quake, in Mexico, a big one, 7.4. Sandra Doyle She said ""Thanks for saying all the things I never do."" I said ""The thanks I get is to take all the shit for you."" - AD Disclaimer: These are my opinions only. But I share.'", certainly going know one other another quake mexico big one sandra doyle said thanks saying things never do said the thanks get take shit you ad disclaimer opinions only share ,1
2,"'I see Pocono has put up some info on the new TeleVue 31.5 mm ep. Hefty price tag though. I think this would be the perfect ep for my 10"" LX200. I want one. B'", see pocono put info new televue mm ep hefty price tag though think would perfect ep want one b ,0
3,'i want you tell me some nice short student joke', want tell nice short student joke ,0
4,"'Dont you get it boy? Isnt the sig file below enough to burst your bubble? You want to discuss your sig file again? Well, if you really insist: Josif Absurdity repeated his SPAM again ""Ancient Macedonians looked down upon the Hellenes with contempt The dislike was reciprocal, for the Macedonians have grown into a proud masterful nation which with highly developed national consciousness looked down upon the Hellenes with contempt"" Ulrich Wilcken. Wilcken? 1) The Kings of Macedonia passed with the Greeks as Hellenes since Alexander I was accepted into the Olympic games. 2) ""And yet when we take into account the political conditions, religion and morals of the Macedonians, our conviction is strengthened that they were a Greek race and akin to the Dorians. Having stayed behind in the extreme north, they were unable to participate in the progressive civilization of the tribes which went further south, and so, when in the time of the Persian Wars they emerged to them as non-Greeks, as barbarians."" ""The Colonels, as it happened, promoted Alexander as a Greek hero, especially to army recruits: The Greeks of the fourth century B.C., to whom Alexander was a half-Macedonian, half-Epirote barbarian conqueror, would have found this metamorphosis as ironic as I did."" Peter Green [Alexander of Macedon] Peter Green? ""As the result of some subterranean upheaval, a spring near the city boiled up like a geyser, spewing forth a bronze tablet inscribed with ancient symbols - perhaps some long-lostex-voto offering. For any diviner with his wits about him, this must have come as a godsend. Aristander duly interpreted the mysterious inscription: it said (and who was to contradict him?) that ` the empire of the Persians would one day be destroyed by the Greeks and come to an end. Much encouraged, Alexander set off again, in an easterly direction this time, by the coast road as far as Phoenice (Finike), and thence across the Chelidonian peninsula to Phaselis."" Page 202 Now tell us Josif If Alexander did not consider himself a Greek why was he encouraged and why didnt he execute Aristander for daring to say the Greeks instead of Macedonians? ?????????????????????????????????????????????????????? ) from: Spirit Of The Real Makedon (using Junes e-mail to communicate to you)! The heart of Macedonia was always Greek'", get boy isnt sig file enough burst bubble want discuss sig file again well really insist josif absurdity repeated spam ancient macedonians looked upon hellenes contempt dislike reciprocal macedonians grown proud masterful nation highly developed national consciousness looked upon hellenes contempt ulrich wilcken wilcken kings macedonia passed greeks hellenes since alexander accepted olympic games and yet take account political conditions religion morals macedonians conviction strengthened greek race akin dorians stayed behind extreme north unable participate progressive civilization tribes went south so time persian wars emerged non greeks barbarians the colonels happened promoted alexander greek hero especially army recruits greeks fourth century b c alexander half macedonian half epirote barbarian conqueror would found metamorphosis ironic did peter green alexander macedon peter green as result subterranean upheaval spring near city boiled like geyser spewing forth bronze tablet inscribed ancient symbols perhaps long lostex voto offering diviner wits him must come godsend aristander duly interpreted mysterious inscription said and contradict him empire persians would one day destroyed greeks come end much encouraged alexander set again easterly direction time coast road far phoenice finike thence across chelidonian peninsula phaselis page tell us josif alexander consider greek encouraged didnt execute aristander daring say greeks instead macedonians from spirit real makedon using junes e mail communicate you heart macedonia always greek ,1
5,'tell me your name you mental retard', name mental retard ,1
6,"'You need a four-pole mini-plug on one end, and a digital DIN on the other, no big deal. Try asking Creative Customer Service about this at 1-800-998-1000. you are right about the Encore connection. Dave I have Creatives PC-DVD Encore, I am thinking of getting the SB Live Platinum and DTT2500 speakers. I think the SP/DIF output of the Encore plugs into the SP/DIF input of the DTT2500. That leaves its Digital DIN input free. But Creatives Web site has no reference to a Digital DIN output on the SB Live Platinum, only ""Digital Out (front & rear S/PDIF output)"". So do I have to unplug the DVD and plug in the SB Live every time I want to switch from DVD to games? The live-platinum/specs.html says: Expansion header for Optical Digital I/O card or Live!(tm) Drive (available separately) So do I have to buy even more parts to connect these? If anyone actually owns these three products and can explain how they plug together, I would really appreciate it. If anyone from Creative is reading, your web site does an APPALLING job of explaining how these three products plug together. =S Page William Gibson bibliography loving Carmageddon! CHIC salute'", need four pole mini plug one end digital din other big deal try asking creative customer service right encore connection dave creatives pc dvd encore thinking getting sb live platinum speakers think sp dif output encore plugs sp dif input leaves digital din input free creatives web site reference digital din output sb live platinum digital front rear s pdif output unplug dvd plug sb live every time want switch dvd games live platinum specs html says expansion header optical digital i o card live tm drive available separately buy even parts connect these anyone actually owns three products explain plug together would really appreciate it anyone creative reading web site appalling job explaining three products plug together s page william gibson bibliography loving carmageddon chic salute ,0
7,'i am very interested in your decision to speak about this book', interested decision speak book ,0
8,"'If I had known this, i would have been there this weekend Did you post a message about this Amiga Dag on this newsgroup !? We like to tell all Amiga Users That we in the Netherlands had the World Premiere for OS. 3.5 the final sales version! Petro T. was with us this weekend and brought with him 20 end versions of OS 3.5 And they where all sold with in a few minutes by Our Benelux Amiga Importer ComputerCity. And that was all hapening on our Amiga Dag in Leeuwarden. : Bye, Sjoerd AGGF and AmigaScene, Holland!'", known this would weekend post message amiga dag newsgroup like tell amiga users netherlands world premiere os final sales version petro t us weekend brought end versions os sold minutes benelux amiga importer computercity hapening amiga dag leeuwarden bye sjoerd aggf amigascene holland ,0
9,"'[A complimentary Cc of this posting was sent to Trevor Hemsley The CD filesystem does not include support for EAs so they are discarded when you write files to a CD (probably not even written at all). The only way to get EAs onto a CD that I know of is to zip the files first using an EA aware copy of zip and then write the zip file to CD. I wonder how hard would it be to write a FS on top of the CDFS, which would store EAs of a ""filename.ext"" in a file ""filename.ext. e a "", and will do the inverse transformation on reading. It is possible to stack one FS on top of another, right? Ilya'", a complimentary cc posting sent trevor hemsley cd filesystem include support eas discarded write files cd probably even written all way get eas onto cd know zip files first using ea aware copy zip write zip file cd wonder hard would write fs top cdfs would store eas filename ext file filename ext e inverse transformation reading possible stack one fs top another right ilya ,0
10,"'As Rich commented, you are getting more and more difficult to believe. We all make mistakes - both as beginners and advanced amateurs. We are not all quite as hopeless are you are starting to appear. Well Jeepers, I just feel so stupid now. Hey, I have got an idea, how about the next time someone asks a question like how do i find north if I dont have a compass and cant see Polaris we do something like answer the question, instead of poking fun, calling names and assuming that everyone in the universe is as well educated in the ins-and-and outs of astronomy as we are? The whole scenario of forgetting my compass and being nowhere with obvious reference points was only brought up because people started asking me why I didnt just go buy a compass. I ask a question that some people seem to think is so simple and obvious that it shouldnt have been asked at all. If it is so simple, why all the added attractions? Why not answer the question and get on with life? The posts that say go buy a compass as an answer to the question what if I cant buy a compass are, as stated, totally redundant. Sure, the first couple of posts that said that had their humorous undercoatings, and I can enjoy a good joke as much as anyone else. But when someone goes to the extent of saying I am stupid, unbelievable and/or hopeless - that takes the joke a little too far. If you dont know the answer, dont participate. If you do know it, answer the question. This isnt rocket science, after all. Oh, wait, I guess it is. JB'", rich commented getting difficult believe make mistakes beginners advanced amateurs quite hopeless starting appear well jeepers feel stupid now hey got idea next time someone asks question like find north dont compass cant see polaris something like answer question instead poking fun calling names assuming everyone universe well educated ins and and outs astronomy are whole scenario forgetting compass nowhere obvious reference points brought people started asking didnt go buy compass ask question people seem think simple obvious shouldnt asked all simple added attractions answer question get life posts say go buy compass answer question cant buy compass are stated totally redundant sure first couple posts said humorous undercoatings enjoy good joke much anyone else someone goes extent saying stupid unbelievable and or hopeless takes joke little far dont know answer dont participate know it answer question isnt rocket science all oh wait guess is jb ,1
